"Identificador de URL";Nombre;Categorías;Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo;Visibilidad
CAT_2894;"PORTARUEDAS LUSTRADORA";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_2894;;SI;NO;"<p>SOPORTE PORTA RUEDA LUSTRADORA SUPER SPEED 28 33 39 44 C L<br />MARCA SUPER SPEED<br />CODIGO 2894.</p>";;;;"SUPER SPEED";SI;;;;;Visible
CAT_2767;"BOQUILLA PLANA RINCONERA 38MM";"MARCAS > CATANESE, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > ASPIRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_2767;;SI;NO;"<p>Caracteristicas:<br />-Rinconero<br />-Importado<br />-Medida 35mm Estandar<br />-Sirve para cualquier marca</p>";;;;CATANESE;SI;;;;;Visible
CAT_4570;"MANGUERA ASPIRADORA CON TERMINAL CURVO X 2,5 MTS";"MARCAS > CATANESE, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > ASPIRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_4570;;SI;NO;"<p>Largo Total: 1,60 mts</p>";;;;CATANESE;SI;;;;;Visible
CAT_4570D;"MANGUERA ASPIRADORA CON TERMINAL CURVO X 10 MTS";"MARCAS > CATANESE, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > ASPIRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_4570D;;SI;NO;"<p>Largo Total: 1,60 mts</p>";;;;CATANESE;SI;;;;;Visible
CAT_4290;"GANCHO PLASTICO FORZA 400";"MARCAS > CATANESE, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > ASPIRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_4290;;SI;NO;;;;;CATANESE;SI;;;;;Visible
CAT_1854;"DISCO DE ARRASTRE 44 CM";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_1854;;SI;NO;"<p>Disco arrastre porta pa&ntilde;os discos Super Speed S 44C 45cm<br />DI&Aacute;METRO 44CM / 45CM</p>";;;;"SUPER SPEED";SI;;;;;Visible
CAT_1853;"DISCO DE ARRASTRE 39 CM";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_1853;;SI;NO;"<p>Disco arrastre porta pa&ntilde;os discos Super Speed S 39C 40cm<br />DI&Aacute;METRO 39CM / 40CM</p>";;;;"SUPER SPEED";SI;;;;;Visible
CAT_1852;"DISCO DE ARRASTRE 33 CM";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_1852;;SI;NO;"<p>Disco arrastre porta pa&ntilde;os discos Super Speed 33c 33l 33cm 13<br />DI&Aacute;METRO 33CM</p>";;;;"SUPER SPEED";SI;;;;;Visible
CAT_4521;"CEPILLO REDONDO P/TAPIZADOS";"MARCAS > CATANESE, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_4521;;SI;NO;;;;;CATANESE;SI;;;;;Visible
CAT_1224P;"CEPILLO PITA LUSTRAR PISOS 44 CM";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_1224P;;SI;NO;"<p>Cepillo Lustrar para Lustradora Super Speed 44. Con un di&aacute;metro de 440mm, este cepillo est&aacute; dise&ntilde;ado para ofrecer un acabado de alta calidad en diversas superficies. Su estructura robusta y eficiente asegura un rendimiento inigualable, ideal para quienes buscan resultados profesionales en su trabajo.<br />Fabricado bajo los est&aacute;ndares de calidad de la marca Super Speed, este cepillo se convierte en una herramienta indispensable para especialistas en lustrado. Su dise&ntilde;o permite un uso sencillo y efectivo, aumentando la productividad y haciendo el trabajo m&aacute;s &aacute;gil.</p>";;;;"SUPER SPEED";SI;;;;;Visible
CAT_1223P;"CEPILLO PITA LUSTRAR PISOS 39 CM";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_1223P;;SI;NO;"<p>Cepillo Lustrar para Lustradora Super Speed 39. Con un di&aacute;metro de 390mm, este cepillo est&aacute; dise&ntilde;ado para ofrecer un acabado de alta calidad en diversas superficies. Su estructura robusta y eficiente asegura un rendimiento inigualable, ideal para quienes buscan resultados profesionales en su trabajo.<br />Fabricado bajo los est&aacute;ndares de calidad de la marca Super Speed, este cepillo se convierte en una herramienta indispensable para especialistas en lustrado. Su dise&ntilde;o permite un uso sencillo y efectivo, aumentando la productividad y haciendo el trabajo m&aacute;s &aacute;gil.</p>";;;;"SUPER SPEED";SI;;;;;Visible
CAT_1222P;"CEPILLO PITA LUSTRAR PISOS 33 CM";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_1222P;;SI;NO;"<p>Cepillo Lustrar para Lustradora Super Speed 33. Con un di&aacute;metro de 330 mm, este cepillo est&aacute; dise&ntilde;ado para ofrecer un acabado de alta calidad en diversas superficies. Su estructura robusta y eficiente asegura un rendimiento inigualable, ideal para quienes buscan resultados profesionales en su trabajo.<br />Fabricado bajo los est&aacute;ndares de calidad de la marca Super Speed, este cepillo se convierte en una herramienta indispensable para especialistas en lustrado. Su dise&ntilde;o permite un uso sencillo y efectivo, aumentando la productividad y haciendo el trabajo m&aacute;s &aacute;gil.</p>";;;;"SUPER SPEED";SI;;;;;Visible
CAT_1221P;"CEPILLO PITA LUSTRAR PISOS 28 CM";"MARCAS > SUPER SPEED, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_1221P;;SI;NO;"INDUSTRIA ARGENTINA<br />
CEPILLO DE CERDAS PARA LUSTRAR PISOS<br />
LUSTRADORA SUPER SPEED 28<br />
Cepillo de lustrar pisos mosaicos, granitos, mármol, cerámicos, cementos alisados/micropisos Lustradora Lavadora de baja velocidad y diámetro medio de 280mm ideal para ambientes medianos como halls y palliers de edificios, consultorios, oficinas, minimercados, etc.<br />
CEPILLO DE CERDAS PARA LUSTRAR PISOS MOSAICOS, GRANITO, MARMOL, CERAMICOS, CEMENTO ALISADO.<br />
LUSTRADORA DE BAJA VELOCIDAD DIÁMETRO IDEAL PARA AMBIENTES MEDIANOS COMO HALLS Y PALLIERES DE EDIFICIOS.<br />
DIÁMETRO DEL CEPILLO 28 CM<br />
ALTERNATIVAS CEPILLO DE LAVAR, CEPILLO LAVAR ALFOMBRAS, DISCO DE ARRASTRE, SCOTCH BRITE.<br />
CEPILLO DE CERDAS (LUSTRE)<br />
CEPILLO NYLON (LAVAR PISOS y ALFOMBRAS)<br />
Formas de pago<br />
-Mercado pago: Compra y paga a través de MercadoPago en hasta<br />
12 cuotas sin interés.<br />
(Sujeto a planes vigentes en Mercado Pago del momento)<br />
-¿Se puede abonar en efectivo?<br />
Si, seleccionado en mercado pago la opción Rapi Pago o Pago Fácil, copiando o imprimiendo el código que le otorga.<br />
--------------------------------------------------------------------------------------------------<br />
Envíos<br />
-Mercado Envíos. Este es el sistema de logística propio de mercadolibre con el cual se envían los productos a todo el país. Mercadolibre designará que empresa de Correo te llevará el producto hasta tu domicilio. Si el producto se encuentra dentro de las categorías aceptadas y dentro de los límites de peso y tamaño permitidos por este sistema, lo podrás ver en la misma publicación.<br />
-En el caso de aquellos productos que no son aceptados por el sistema mercadoenvios, ya sea por su tamaño, peso o tipo las opciones de envío y/o retiro son las siguientes:<br />
*Retiro en nuestro local.<br />
*Envíos por empresas de transportes (Consúltanos precios y plazos de envío)<br />
*Abonarás el costo de envío del producto en destino en el mismo momento de retirarlo.<br />
-------------------------------------------------------------------------------------------------<br />
Otras preguntas frecuentes<br />
-¿Qué tipo de factura de compra emiten?<br />
Somos Responsables Inscriptos y realizamos facturas A Y B.<br />
-¿Los productos tienen Garantía?<br />
Los productos son nuevos y cuentan con la garantía dada por el fabricante. Esto siempre se indica en la publicación.<br />
Otras consultas frecuentes sobre los envíos/entregas<br />
-¿Cuál es el precio de los mismos?<br />
Muchos productos gozan de envío gratuito, en estos casos lo verás reflejado en cada publicación. En el caso de que no lo indique lo calculas debajo del precio ingresando tu código postal.<br />
En el caso de que la publicación no te muestre el costo de envío o no lo podés calcular, esto se debe a que el producto, ya sea por sus dimensiones, peso o categoría no es aceptado dentro del sistema de logística de mercadoenvios. En estos casos por favor nos consultas al respecto y buscamos la forma más segura, rápida y económica para enviarte el producto.<br />
-¿Hacen envíos a todo el país?<br />
Si, realizamos envíos a todo el país. Excepto Tierra del Fuego.<br />
-¿El producto lo puede retirar otra persona de nuestro local?<br />
Si, debes autorizarlo por mensaje desde el detalle de tu compra, indicándonos Nombre y Apellido completo de la persona autorizada y su número de DNI.";;;;"SUPER SPEED";SI;;;;;Visible
CAT_124871;"DISCO 3M SCOTCH BRITE ROJO 20""";"MARCAS > 3M, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_124871;;SI;NO;"Disco Rojo 3M - Limpieza Diaria a Baja Velocidad<br />
Ideal para tareas de limpieza diaria a baja velocidad, el Disco Rojo de 3M está diseñado para el mantenimiento de pisos de vinilo o piedra. Este disco es excelente para eliminar la suciedad superficial sin dañar el acabado, manteniendo el aspecto limpio y cuidado de tus superficies. Perfecto para utilizar en máquinas de baja velocidad, este disco asegura una limpieza efectiva y controlada en áreas de tráfico moderado.<br />
El Disco Rojo 3M de 20 Pulgadas está diseñado para ofrecer un rendimiento superior en limpieza y pulido. Con su tamaño de 20 pulgadas, proporciona una cobertura extensa y eficiente, ideal para eliminar marcas y manchas mientras proporciona un acabado brillante. Las fibras abrasivas de media intensidad garantizan una limpieza efectiva sin dañar las superficies. Compatible con la mayoría de las máquinas rotativas, es ideal tanto para profesionales como para usuarios que buscan resultados excepcionales en mantenimiento y pulido.<br />
CARACTERÍSTICAS PRINCIPALES:<br />
o Tamaño: 20 pulgadas<br />
o Uso: Limpieza ligera y pulido<br />
o Aplicación: Perfecto para eliminar marcas y dar un lustre brillante<br />
o Material: Fibras abrasivas de media intensidad<br />
o Compatibilidad: Adecuado para superficies como vinilo, madera y mármol<br />
BENEFICIOS DEL PRODUCTO:<br />
o Limpieza Eficaz: Elimina marcas y manchas de manera eficiente para un acabado más limpio.<br />
o Acabado Brillante: Proporciona un lustre óptimo, mejorando la apariencia de las superficies.<br />
o Fibras Abrasivas: Material de media intensidad que asegura durabilidad y rendimiento.<br />
o Versatilidad de Superficies: Ideal para una variedad de materiales, incluyendo vinilo, madera y mármol.<br />
o Cobertura Amplia: Con 20 pulgadas, ofrece una cobertura amplia para trabajos de mantenimiento y pulido.<br />
INSTRUCCIONES DE USO:<br />
PASO 1 Preparación: Asegúrate de que la superficie esté limpia y lista para el pulido.<br />
PASO 2 Instalación: Coloca el disco rojo de 20&quot; en la máquina rotativa, asegurando un ajuste firme.<br />
PASO 3 Aplicación: Enciende la máquina y realiza movimientos suaves y uniformes sobre la superficie.<br />
PASO 4 Pulido: Deja que el disco elimine marcas y proporcione un lustre brillante.<br />
PASO 5 Inspección: Verifica la superficie para confirmar que ha alcanzado el acabado deseado. Repite si es necesario.";;;;3M;SI;;;;;Visible
CAT_120945;"DISCO 3M NATURAL BLEND WHITE BLANCO 20""";"MARCAS > 3M, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_120945;;SI;NO;"Destacados<br />
o Restaura ceras acrílicas eliminando marcas y rayones<br />
o No requiere químicos en su operación<br />
o Uso en máquinas de alta velocidad (1500 - 3000 RPM)<br />
o Se usan de ambos lados y son lavables<br />
o Rendimiento aproximado de: 13,500 m2<br />
o Dura hasta 5 veces más ya que los minerales se encuentran tanto en las caras del disco como en el interior<br />
<br />
Los Discos para Pisos 3M(TM) 3300 están hechos de pelo natural y fibra sintética para ofrecer un brillo excelente en suelos de una amplia variedad de acabados. Las fibras están unidas a la estructura de la red con un sistema de resina duradera que impregna todo el disco.<br />
Obtenga un acabado brillante en una amplia variedad de superficies de piso con los Discos para Pisos 3M(TM) 3300. Nuestros discos están hechos de pelo natural y fibras sintéticas para brindar excelentes resultados en una amplia variedad de acabados de pisos y condiciones de tráfico. Tipo de equipo: Eléctrico, batería, propano. Velocidad de la máquina: Velocidad rápida, 1.500 RPM y superior.";;;;3M;SI;;;;;Visible
CAT_117359;"DISCO 3M SCOTCH BRITE BLANCO 17""";"MARCAS > 3M, MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS";0.00;;0.00;0.00;0.00;0.00;;CAT_117359;;SI;NO;"Destacados<br />
o Diseñado para una limpieza ligera que ayuda a eliminar la suciedad y las marcas de rozaduras<br />
o Limpia y abrillanta suavemente las superficies sin dañar el acabado del piso<br />
o Se puede utilizar para pulir pisos de madera, limpieza con spray o abrillantado en seco de acabados suaves (con una máquina rotativa)<br />
o Fabricado con fibras de poliéster en una estructura no tejida de textura abierta<br />
o Se puede lavar y reutilizar, lo que ayuda a ahorrar en gastos de material<br />
o Para usar con máquinas de limpieza de pisos de baja velocidad en muchos tipos de pisos, incluida la madera<br />
<br />
El Disco de Limpieza y Pulido para Pisos 3M(TM) 4100 Blanco es un disco de abrillantado y pulido ideal para una limpieza ligera. Elimina eficazmente las marcas y la suciedad sin opacar el brillo de los acabados del piso. Este disco, excepcionalmente suave, es muy versátil y se puede utilizar tanto para la limpieza con spray como para el pulido en seco, con el fin de conseguir acabados suaves. Su resistente estructura, fabricada con fibra de poliéster y resina, te permite reutilizar esta almohadilla en numerosos pulidos. El uso del Disco de Limpieza y Pulido para Pisos 3M(TM) 4100 para el mantenimiento habitual protege eficazmente los revestimientos blandos y elimina las marcas y la suciedad del día a día.<br />
Ideal para una limpieza ligera, el Disco de Limpieza y Pulido para Pisos 3M(TM) 4100 Blanco es un disco de abrillantado y pulido capaz de eliminar eficazmente las marcas y la suciedad, al tiempo que mantiene el brillo del piso. Es más eficaz cuando se utiliza para la limpieza con pulverizador o el pulido en seco de pisos con acabados delicados.";;;;3M;SI;;;;;Visible
